xx,sepalgland_phytools,lam_blade_phytools,petiole_phytools,lateral_organ,petal,anther,style,pedicel,NWOW,calyx,laminar,floralnec,petal_binary,lam_blade_binary,petiole_binary,X.1
Peridiscus_lucidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ochna_multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Centroplacus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Bhesa_robustaSplice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Elatine_triandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elatine_minima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bergia_texana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bergia_pedicellaris,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Diacidia_ferruginea,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Diacidia_galphimioides,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Blepharandra_fimbriata,1,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Blepharandra_hypoleuca,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Blepharandra_heteropetala,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_lucida,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_triopterifolia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_morii,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_crassifolia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_basiloba,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_duckeana,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_crispa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_macrophylla,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Byrsonima_coccolobifolia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Pterandra_arborea,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
Acmanthera_latifolia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Galphimia_gracilis,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_brasiliensis,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_vestita,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_angustifolia,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_australis,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Galphimia_platyphylla,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Galphimia_glauca,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_langlassei,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Galphimia_oaxacana,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Galphimia_mirandae,3,4,0,1,0,0,0,0,0,1,1,0,0,1,0,
Galphimia_glandulosa,3,0,1,2,0,0,0,0,0,1,1,0,0,0,1,
Galphimia_mexiae,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,
Galphimia_elegans,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,
Verrucularia_glaucophylla,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Lophanthera_lactescens,1,1,1,3,0,0,0,0,0,1,1,0,0,1,1,
Lophanthera_pendula,3,1,2,4,0,0,0,0,0,1,1,0,0,1,1,
Lophanthera_longifolia,1,1,2,3,0,0,0,0,0,1,1,0,0,1,1,
Lophanthera_hammelii,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Spachea_tricarpa,1,4,0,1,0,0,0,0,0,1,1,0,0,1,0,
Spachea_membranacea,1,3,2,3,0,0,0,0,0,1,1,0,0,1,1,
Spachea_correae,1,4,0,1,0,0,0,0,0,1,1,0,0,1,0,
Spachea_elegans,1,3,2,3,0,0,0,0,0,1,1,0,0,1,1,
Acridocarpus_macrocalyx,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_staudtii,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_natalitius,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_scheffleri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Acridocarpus_zanzibaricus,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_orientalis,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_chevalieri,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
Acridocarpus_alternifolius,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_spectabilis,3,1,2,3,0,0,0,0,1,1,1,0,0,1,1,
Acridocarpus_smeathmannii,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Acridocarpus_humbertii,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,
Acridocarpus_excelsus,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,
Acridocarpus_adenophorus,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,
Brachylophon_curtisii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Burdachia_sphaerocarpa,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
Glandonia_macrocarpa,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Mcvaughia_bahiana,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Ptilochaeta_bahiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ptilochaeta_nudipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dinemagonum_gayanum,4,0,0,0,2,0,0,0,0,1,0,1,1,0,0,
Dinemandra_ericoides,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Lophopterys_inpana,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,
Lophopterys_floribunda,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
Excentradenia_propinqua,1,4,0,1,1,0,0,0,0,1,1,1,1,1,0,
Hiraea_smilacina,1,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Hiraea_fagifolia,1,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Hiraea_reclinata,1,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Hiraea_barclayana,2,2,2,3,0,0,0,0,0,1,1,0,0,1,1,
Hiraea_wiedeana,2,4,2,4,1,0,0,0,0,1,1,1,1,1,1,
Psychopterys_rivularis,0,1,1,3,0,0,0,0,0,0,1,0,0,1,1,
Psychopterys_mcvaughii,0,1,1,3,0,0,0,0,0,0,1,0,0,1,1,
Adelphia_hiraea,1,0,2,3,0,0,0,0,0,1,1,1,0,0,1,
Adelphia_macrophylla,1,0,2,3,0,0,0,0,0,1,1,1,0,0,1,
Alicia_macrodisca,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_pusilla,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_fimbripetala,1,2,0,1,0,0,0,0,1,1,1,0,0,1,0,
Tetrapterys_styloptera,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_arcana,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_vacciniifolia,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_seleriana,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_maranhamensis,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_microphylla,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_cardiophylla,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_salicifolia,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_ambigua,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_paludosa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Niedenzuella_acutifolia,2,2,2,3,0,0,0,0,0,1,1,0,0,1,1,
Niedenzuella_sericea,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1,
Niedenzuella_stannea,2,2,1,3,0,0,0,0,0,1,1,0,0,1,1,
Aenigmatanthera_doniana,1,2,1,3,0,0,0,0,0,1,1,0,0,1,1,
Aenigmatanthera_lasiandra,1,2,1,3,0,0,0,0,0,1,1,0,0,1,1,
Tetrapterys_tinifolia,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_goudotiana,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_discolor,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_megalantha,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_mucronata,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_schiedeana,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Tetrapterys_phlomoides,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_byrsonimifolia,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_lindeniana,2,2,0,1,0,1,0,0,0,1,1,1,0,1,0,
Heteropterys_laurifolia,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_leona,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_steyermarkii,1,2,1,3,1,0,0,0,0,1,1,1,1,1,1,
Heteropterys_pauciflora,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1,
Heteropterys_leschenaultiana,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1,
Heteropterys_bicolor,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_dumetorum,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_rhopalifolia,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_trichanthera,2,1,1,3,0,0,0,0,0,1,1,0,0,1,1,
Heteropterys_brachiata,2,2,2,3,0,0,0,0,0,1,1,0,0,1,1,
Heteropterys_palmeri,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Heteropterys_rufula,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heteropterys_pteropetala,2,2,0,1,0,1,0,0,0,1,1,1,0,1,0,
Heteropterys_sincorensis,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
